Model ID,Region ID,Time Start,Time End,Requests,Input Tokens,Output Tokens,Total Tokens
Z.ai GLM 4.7,us-west-1,2026-01-27T20:37:00.000Z,2026-01-27T20:38:00.000Z,1,4961,180,5141
Z.ai GLM 4.7,us-west-1,2026-01-27T20:38:00.000Z,2026-01-27T20:39:00.000Z,0,0,0,0
Z.ai GLM 4.7,us-west-1,2026-01-27T20:39:00.000Z,2026-01-27T20:40:00.000Z,0,0,0,0
Z.ai GLM 4.7,us-west-1,2026-01-27T20:40:00.000Z,2026-01-27T20:41:00.000Z,6,54646,1281,55927
Z.ai GLM 4.7,us-west-1,2026-01-27T20:41:00.000Z,2026-01-27T20:42:00.000Z,6,102948,820,103768
Z.ai GLM 4.7,us-west-1,2026-01-27T20:42:00.000Z,2026-01-27T20:43:00.000Z,5,87969,2622,90591
Z.ai GLM 4.7,us-west-1,2026-01-27T20:43:00.000Z,2026-01-27T20:44:00.000Z,0,0,0,0
Z.ai GLM 4.7,us-west-1,2026-01-27T20:44:00.000Z,2026-01-27T20:45:00.000Z,6,75958,1917,77875
Z.ai GLM 4.7,us-west-1,2026-01-27T20:45:00.000Z,2026-01-27T20:46:00.000Z,11,241452,1653,243105
Z.ai GLM 4.7,us-west-1,2026-01-27T20:46:00.000Z,2026-01-27T20:47:00.000Z,14,261509,2985,264494
Z.ai GLM 4.7,us-west-1,2026-01-27T20:47:00.000Z,2026-01-27T20:48:00.000Z,23,957377,10731,968108
Z.ai GLM 4.7,us-west-1,2026-01-27T20:48:00.000Z,2026-01-27T20:49:00.000Z,18,986433,10882,997315
Z.ai GLM 4.7,us-west-1,2026-01-27T20:49:00.000Z,2026-01-27T20:50:00.000Z,53,958034,9812,967846
Z.ai GLM 4.7,us-west-1,2026-01-27T20:50:00.000Z,2026-01-27T20:51:00.000Z,29,1116471,25648,1142119
Z.ai GLM 4.7,us-west-1,2026-01-27T20:51:00.000Z,2026-01-27T20:52:00.000Z,24,1143538,13543,1157081
Z.ai GLM 4.7,us-west-1,2026-01-27T20:52:00.000Z,2026-01-27T20:53:00.000Z,35,770988,15702,786690
Z.ai GLM 4.7,us-west-1,2026-01-27T20:53:00.000Z,2026-01-27T20:54:00.000Z,52,1013159,9691,1022850
Z.ai GLM 4.7,us-west-1,2026-01-27T20:54:00.000Z,2026-01-27T20:55:00.000Z,33,1226829,21568,1248397
Z.ai GLM 4.7,us-west-1,2026-01-27T20:55:00.000Z,2026-01-27T20:56:00.000Z,27,1102846,14429,1117275
Z.ai GLM 4.7,us-west-1,2026-01-27T20:56:00.000Z,2026-01-27T20:57:00.000Z,22,1033103,33274,1066377
Z.ai GLM 4.7,us-west-1,2026-01-27T20:57:00.000Z,2026-01-27T20:58:00.000Z,20,1017284,19741,1037025
Z.ai GLM 4.7,us-west-1,2026-01-27T20:58:00.000Z,2026-01-27T20:59:00.000Z,21,1316282,12967,1329249
Z.ai GLM 4.7,us-west-1,2026-01-27T20:59:00.000Z,2026-01-27T21:00:00.000Z,15,988746,14332,1003078
Z.ai GLM 4.7,us-west-1,2026-01-27T21:00:00.000Z,2026-01-27T21:01:00.000Z,28,1058130,9461,1067591
Z.ai GLM 4.7,us-west-1,2026-01-27T21:01:00.000Z,2026-01-27T21:02:00.000Z,41,1087941,11496,1099437
Z.ai GLM 4.7,us-west-1,2026-01-27T21:02:00.000Z,2026-01-27T21:03:00.000Z,51,637402,10744,648146
Z.ai GLM 4.7,us-west-1,2026-01-27T21:03:00.000Z,2026-01-27T21:04:00.000Z,21,385122,4578,389700
