Model ID,Region ID,Time Start,Time End,Requests,Input Tokens,Output Tokens,Total Tokens
Z.ai GLM 4.7,us-west-1,2026-01-30T17:41:00.000Z,2026-01-30T17:42:00.000Z,6,58789,728,59517
Z.ai GLM 4.7,us-west-1,2026-01-30T17:42:00.000Z,2026-01-30T17:43:00.000Z,1,13096,114,13210
Z.ai GLM 4.7,us-west-1,2026-01-30T17:43:00.000Z,2026-01-30T17:44:00.000Z,7,67994,627,68621
Z.ai GLM 4.7,us-west-1,2026-01-30T17:44:00.000Z,2026-01-30T17:45:00.000Z,6,71028,2123,73151
Z.ai GLM 4.7,us-west-1,2026-01-30T17:45:00.000Z,2026-01-30T17:46:00.000Z,13,123740,1344,125084
Z.ai GLM 4.7,us-west-1,2026-01-30T17:46:00.000Z,2026-01-30T17:47:00.000Z,5,56077,3413,59490
Z.ai GLM 4.7,us-west-1,2026-01-30T17:47:00.000Z,2026-01-30T17:48:00.000Z,0,0,0,0
Z.ai GLM 4.7,us-west-1,2026-01-30T17:48:00.000Z,2026-01-30T17:49:00.000Z,0,0,0,0
Z.ai GLM 4.7,us-west-1,2026-01-30T17:49:00.000Z,2026-01-30T17:50:00.000Z,10,88401,1935,90336
Z.ai GLM 4.7,us-west-1,2026-01-30T17:50:00.000Z,2026-01-30T17:51:00.000Z,11,129823,3646,133469
Z.ai GLM 4.7,us-west-1,2026-01-30T17:51:00.000Z,2026-01-30T17:52:00.000Z,7,60205,2411,62616
Z.ai GLM 4.7,us-west-1,2026-01-30T17:52:00.000Z,2026-01-30T17:53:00.000Z,10,106668,3316,109984
Z.ai GLM 4.7,us-west-1,2026-01-30T17:53:00.000Z,2026-01-30T17:54:00.000Z,14,163697,3106,166803
Z.ai GLM 4.7,us-west-1,2026-01-30T17:54:00.000Z,2026-01-30T17:55:00.000Z,10,117576,2082,119658
Z.ai GLM 4.7,us-west-1,2026-01-30T17:55:00.000Z,2026-01-30T17:56:00.000Z,13,137206,3912,141118
Z.ai GLM 4.7,us-west-1,2026-01-30T17:56:00.000Z,2026-01-30T17:57:00.000Z,20,222021,5420,227441
Z.ai GLM 4.7,us-west-1,2026-01-30T17:57:00.000Z,2026-01-30T17:58:00.000Z,13,151460,1756,153216
Z.ai GLM 4.7,us-west-1,2026-01-30T17:58:00.000Z,2026-01-30T17:59:00.000Z,23,182194,6423,188617
Z.ai GLM 4.7,us-west-1,2026-01-30T17:59:00.000Z,2026-01-30T18:00:00.000Z,41,321084,11690,332774
Z.ai GLM 4.7,us-west-1,2026-01-30T18:00:00.000Z,2026-01-30T18:01:00.000Z,8,60601,1560,62161
Z.ai GLM 4.7,us-west-1,2026-01-30T18:01:00.000Z,2026-01-30T18:02:00.000Z,18,175147,3249,178396
Z.ai GLM 4.7,us-west-1,2026-01-30T18:02:00.000Z,2026-01-30T18:03:00.000Z,2,20876,954,21830
Z.ai GLM 4.7,us-west-1,2026-01-30T18:03:00.000Z,2026-01-30T18:04:00.000Z,0,0,0,0
Z.ai GLM 4.7,us-west-1,2026-01-30T18:04:00.000Z,2026-01-30T18:05:00.000Z,16,208724,4868,213592
Z.ai GLM 4.7,us-west-1,2026-01-30T18:05:00.000Z,2026-01-30T18:06:00.000Z,23,315432,3015,318447
Z.ai GLM 4.7,us-west-1,2026-01-30T18:06:00.000Z,2026-01-30T18:07:00.000Z,34,431846,4253,436099
Z.ai GLM 4.7,us-west-1,2026-01-30T18:07:00.000Z,2026-01-30T18:08:00.000Z,15,131156,3364,134520
Z.ai GLM 4.7,us-west-1,2026-01-30T18:08:00.000Z,2026-01-30T18:09:00.000Z,7,40500,504,41004
Z.ai GLM 4.7,us-west-1,2026-01-30T18:09:00.000Z,2026-01-30T18:10:00.000Z,6,42725,522,43247
Z.ai GLM 4.7,us-west-1,2026-01-30T18:10:00.000Z,2026-01-30T18:11:00.000Z,6,52229,1844,54073
Z.ai GLM 4.7,us-west-1,2026-01-30T18:11:00.000Z,2026-01-30T18:12:00.000Z,11,88370,2137,90507
Z.ai GLM 4.7,us-west-1,2026-01-30T18:12:00.000Z,2026-01-30T18:13:00.000Z,6,34361,834,35195
Z.ai GLM 4.7,us-west-1,2026-01-30T18:13:00.000Z,2026-01-30T18:14:00.000Z,0,0,0,0
Z.ai GLM 4.7,us-west-1,2026-01-30T18:15:00.000Z,2026-01-30T18:16:00.000Z,0,0,0,0
Z.ai GLM 4.7,us-west-1,2026-01-30T18:16:00.000Z,2026-01-30T18:17:00.000Z,1,6821,317,7138
Z.ai GLM 4.7,us-west-1,2026-01-30T18:17:00.000Z,2026-01-30T18:18:00.000Z,0,0,0,0
Z.ai GLM 4.7,us-west-1,2026-01-30T18:18:00.000Z,2026-01-30T18:19:00.000Z,1,8495,388,8883
Z.ai GLM 4.7,us-west-1,2026-01-30T18:19:00.000Z,2026-01-30T18:20:00.000Z,0,0,0,0
Z.ai GLM 4.7,us-west-1,2026-01-30T18:20:00.000Z,2026-01-30T18:21:00.000Z,1,9317,941,10258
Z.ai GLM 4.7,us-west-1,2026-01-30T18:21:00.000Z,2026-01-30T18:22:00.000Z,1,9531,960,10491
Z.ai GLM 4.7,us-west-1,2026-01-30T18:22:00.000Z,2026-01-30T18:23:00.000Z,0,0,0,0
Z.ai GLM 4.7,us-west-1,2026-01-30T18:23:00.000Z,2026-01-30T18:24:00.000Z,16,226915,6661,233576
Z.ai GLM 4.7,us-west-1,2026-01-30T18:24:00.000Z,2026-01-30T18:25:00.000Z,0,0,0,0
Z.ai GLM 4.7,us-west-1,2026-01-30T18:28:00.000Z,2026-01-30T18:29:00.000Z,0,0,0,0
Z.ai GLM 4.7,us-west-1,2026-01-30T18:29:00.000Z,2026-01-30T18:30:00.000Z,10,52793,1490,54283
Z.ai GLM 4.7,us-west-1,2026-01-30T18:30:00.000Z,2026-01-30T18:31:00.000Z,25,592924,5609,598533
Z.ai GLM 4.7,us-west-1,2026-01-30T18:31:00.000Z,2026-01-30T18:32:00.000Z,30,785761,11313,797074
Z.ai GLM 4.7,us-west-1,2026-01-30T18:32:00.000Z,2026-01-30T18:33:00.000Z,44,722488,13273,735761
Z.ai GLM 4.7,us-west-1,2026-01-30T18:33:00.000Z,2026-01-30T18:34:00.000Z,12,339746,3074,342820
Z.ai GLM 4.7,us-west-1,2026-01-30T18:34:00.000Z,2026-01-30T18:35:00.000Z,0,0,0,0
Z.ai GLM 4.7,us-west-1,2026-01-30T18:35:00.000Z,2026-01-30T18:36:00.000Z,24,557993,6316,564309
Z.ai GLM 4.7,us-west-1,2026-01-30T18:36:00.000Z,2026-01-30T18:37:00.000Z,0,0,0,0
Z.ai GLM 4.7,us-west-1,2026-01-30T19:31:00.000Z,2026-01-30T19:32:00.000Z,0,0,0,0
Z.ai GLM 4.7,us-west-1,2026-01-30T19:32:00.000Z,2026-01-30T19:33:00.000Z,50,647104,5058,652162
Z.ai GLM 4.7,us-west-1,2026-01-30T19:33:00.000Z,2026-01-30T19:34:00.000Z,10,129490,2176,131666
Z.ai GLM 4.7,us-west-1,2026-01-30T19:34:00.000Z,2026-01-30T19:35:00.000Z,0,0,0,0
Z.ai GLM 4.7,us-west-1,2026-01-30T19:58:00.000Z,2026-01-30T19:59:00.000Z,0,0,0,0
Z.ai GLM 4.7,us-west-1,2026-01-30T19:59:00.000Z,2026-01-30T20:00:00.000Z,1,7892,255,8147
Z.ai GLM 4.7,us-west-1,2026-01-30T20:00:00.000Z,2026-01-30T20:01:00.000Z,1,15265,518,15783
Z.ai GLM 4.7,us-west-1,2026-01-30T20:01:00.000Z,2026-01-30T20:02:00.000Z,0,0,0,0
Z.ai GLM 4.7,us-west-1,2026-01-30T20:07:00.000Z,2026-01-30T20:08:00.000Z,0,0,0,0
Z.ai GLM 4.7,us-west-1,2026-01-30T20:08:00.000Z,2026-01-30T20:09:00.000Z,4,47259,2884,50143
Z.ai GLM 4.7,us-west-1,2026-01-30T20:09:00.000Z,2026-01-30T20:10:00.000Z,8,98464,2692,101156
Z.ai GLM 4.7,us-west-1,2026-01-30T20:10:00.000Z,2026-01-30T20:11:00.000Z,1,13132,1500,14632
Z.ai GLM 4.7,us-west-1,2026-01-30T20:11:00.000Z,2026-01-30T20:12:00.000Z,0,0,0,0
Z.ai GLM 4.7,us-west-1,2026-01-30T20:12:00.000Z,2026-01-30T20:13:00.000Z,0,0,0,0
Z.ai GLM 4.7,us-west-1,2026-01-30T20:13:00.000Z,2026-01-30T20:14:00.000Z,36,413972,4328,418300
Z.ai GLM 4.7,us-west-1,2026-01-30T20:14:00.000Z,2026-01-30T20:15:00.000Z,44,490372,15304,505676
Z.ai GLM 4.7,us-west-1,2026-01-30T20:15:00.000Z,2026-01-30T20:16:00.000Z,36,487171,11983,499154
Z.ai GLM 4.7,us-west-1,2026-01-30T20:16:00.000Z,2026-01-30T20:17:00.000Z,52,613528,10461,623989
Z.ai GLM 4.7,us-west-1,2026-01-30T20:17:00.000Z,2026-01-30T20:18:00.000Z,43,452988,6038,459026
Z.ai GLM 4.7,us-west-1,2026-01-30T20:18:00.000Z,2026-01-30T20:19:00.000Z,36,479157,7612,486769
Z.ai GLM 4.7,us-west-1,2026-01-30T20:19:00.000Z,2026-01-30T20:20:00.000Z,22,247289,5393,252682
Z.ai GLM 4.7,us-west-1,2026-01-30T20:20:00.000Z,2026-01-30T20:21:00.000Z,50,573988,5289,579277
Z.ai GLM 4.7,us-west-1,2026-01-30T20:21:00.000Z,2026-01-30T20:22:00.000Z,50,530623,4712,535335
Z.ai GLM 4.7,us-west-1,2026-01-30T20:22:00.000Z,2026-01-30T20:23:00.000Z,20,250760,3199,253959
